"No.","Time","Source","Destination","Protocol","Length","Data","Info"
"14","0.060527","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000000"
"16","0.070534","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000001"
"18","0.080541","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000002"
"20","0.090509","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000003"
"22","0.100557","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000004"
"24","0.110526","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000005"
"26","0.120544","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000006"
"28","0.130538","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000007"
"30","0.140540","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000008"
"32","0.150534","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000009"
"34","0.160542","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000010"
"36","0.170572","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000011"
"38","0.180539","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000012"
"40","0.190564","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000013"
"42","0.200529","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000014"
"44","0.210547","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000015"
"46","0.220536","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000016"
"48","0.230539","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000017"
"50","0.240537","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000018"
"53","0.250540","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000019"
"55","0.260550","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000020"
"57","0.270527","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000021"
"59","0.280523","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000022"
"61","0.290529","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000023"
"63","0.300541","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000024"
"65","0.310538","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000025"
"67","0.320528","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000026"
"69","0.330580","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000027"
"71","0.340511","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000028"
"72","0.350535","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000029"
"74","0.360526","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000030"
"76","0.370549","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000031"
"78","0.380516","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000032"
"80","0.390533","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000033"
"82","0.400541","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000034"
"84","0.410532","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000035"
"86","0.420533","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000036"
"88","0.430518","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000037"
"90","0.440536","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000038"
"92","0.450511","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000039"
"94","0.460496","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000040"
"96","0.470496","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000041"
"98","0.480515","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000042"
"100","0.490415","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000043"
"102","0.500514","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000044"
"104","0.510520","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000045"
"106","0.520536","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000046"
"108","0.530540","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000047"
"110","0.540545","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000048"
"112","0.550534","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000049"
"114","0.560535","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000050"
"116","0.570532","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000051"
"118","0.580539","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000052"
"120","0.590541","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000053"
"122","0.600551","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000054"
"124","0.610553","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000055"
"126","0.620548","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000056"
"128","0.630525","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000057"
"130","0.640538","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000058"
"132","0.650535","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000059"
"134","0.660466","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000060"
"136","0.670535","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000061"
"138","0.680540","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000062"
"140","0.690829","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000063"
"141","0.700529","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000064"
"143","0.710544","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000065"
"145","0.720548","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000066"
"147","0.730540","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000067"
"149","0.740546","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000068"
"151","0.750555","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000069"
"153","0.760519","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000070"
"155","0.770538","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000071"
"157","0.780540","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03A566E5, SEQ=0000000072"
