"No.","Time","Source","Destination","Protocol","Length","Data","Info"
"1","0.000000","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000001"
"2","0.009743","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000002"
"3","0.020095","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000003"
"4","0.030503","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000004"
"5","0.040849","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000005"
"6","0.050974","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000006"
"7","0.061328","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000007"
"8","0.071687","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000008"
"9","0.082063","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000009"
"10","0.092406","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000010"
"11","0.102555","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000011"
"12","0.112949","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000012"
"13","0.123342","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000013"
"14","0.133707","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000014"
"15","0.143791","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000015"
"16","0.154225","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000016"
"17","0.164576","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000017"
"18","0.174948","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000018"
"19","0.185374","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000019"
"20","0.195660","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000020"
"21","0.205965","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000021"
"22","0.216367","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000022"
"23","0.226737","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000023"
"24","0.237064","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000024"
"25","0.247289","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000025"
"26","0.257657","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000026"
"27","0.268183","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000027"
"28","0.278537","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000028"
"29","0.288871","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000029"
"30","0.299033","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000030"
"31","0.309398","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000031"
"32","0.319771","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000032"
"33","0.330144","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000033"
"34","0.340216","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000034"
"35","0.350421","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000035"
"36","0.360694","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000036"
"37","0.371049","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000037"
"38","0.381534","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000038"
"39","0.391793","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000039"
"40","0.402049","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000040"
"41","0.412441","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000041"
"42","0.422811","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000042"
"43","0.433254","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000043"
"44","0.443468","192.168.210.200","192.168.210.5","ENIP","67","00000100000000","Connection:  ID=0x03B0CAF8, SEQ=0000000044"
