"No.","Time","Source","Destination","Protocol","Length","Data","Info"
"12","0.069178","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000000"
"14","0.079145","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000001"
"16","0.089146","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000002"
"18","0.099147","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000003"
"20","0.109144","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000004"
"22","0.119152","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000005"
"24","0.129138","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000006"
"26","0.139137","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000007"
"28","0.149157","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000008"
"30","0.159138","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000009"
"32","0.169147","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000010"
"34","0.179136","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000011"
"36","0.189140","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000012"
"38","0.199137","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000013"
"40","0.209142","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000014"
"42","0.219147","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000015"
"44","0.229138","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000016"
"46","0.239136","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000017"
"48","0.249120","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000018"
"51","0.259151","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000019"
"53","0.269148","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000020"
"55","0.279134","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000021"
"57","0.289145","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000022"
"59","0.299124","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000023"
"61","0.309121","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000024"
"63","0.319339","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000025"
"65","0.329066","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000026"
"66","0.339155","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000027"
"68","0.349137","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000028"
"70","0.359056","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000029"
"72","0.369124","192.168.210.5","239.192.1.128","ENIP","63","55","Connection:  ID=0x03B539E9, SEQ=0000000030"
