"No.","Time","Source","Destination","Protocol","Length","Data","Info"
"10","0.061301","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C17AC8, SEQ=0000000001"
"12","0.071019","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C17AC8, SEQ=0000000002"
"14","0.081280","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C17AC8, SEQ=0000000003"
"16","0.091744","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C17AC8, SEQ=0000000004"
"18","0.102177","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C17AC8, SEQ=0000000005"
"20","0.112649","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C17AC8, SEQ=0000000006"
"22","0.123097","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C17AC8, SEQ=0000000007"
"24","0.133365","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C17AC8, SEQ=0000000008"
"26","0.143812","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C17AC8, SEQ=0000000009"
"28","0.154272","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C17AC8, SEQ=0000000010"
"30","0.164781","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C17AC8, SEQ=0000000011"
"32","0.175025","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C17AC8, SEQ=0000000012"
"34","0.185482","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C17AC8, SEQ=0000000013"
"36","0.195922","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C17AC8, SEQ=0000000014"
"38","0.206394","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C17AC8, SEQ=0000000015"
"40","0.216874","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C17AC8, SEQ=0000000016"
"42","0.227131","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C17AC8, SEQ=0000000017"
"44","0.237601","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C17AC8, SEQ=0000000018"
"46","0.248048","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C17AC8, SEQ=0000000019"
"49","0.258346","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C17AC8, SEQ=0000000020"
"51","0.268803","192.168.210.200","192.168.210.5","ENIP","67","00","Connection:  ID=0x03C17AC8, SEQ=0000000021"
