"No.","Time","Source","Destination","Protocol","Length","Data","Info"
"13","0.061120","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000000"
"15","0.071105","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000001"
"17","0.081114","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000002"
"19","0.091099","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000003"
"21","0.101110","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000004"
"23","0.111101","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000005"
"25","0.121072","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000006"
"27","0.131117","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000007"
"29","0.141106","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000008"
"31","0.151098","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000009"
"33","0.161102","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000010"
"35","0.171101","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000011"
"37","0.180992","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000012"
"39","0.191096","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000013"
"41","0.201103","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000014"
"43","0.211102","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000015"
"45","0.221112","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000016"
"47","0.231072","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000017"
"49","0.241020","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000018"
"52","0.251098","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000019"
"54","0.261103","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000020"
"56","0.271096","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000021"
"58","0.281094","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000022"
"60","0.291104","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000023"
"62","0.301088","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000024"
"64","0.311096","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000025"
"65","0.321097","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000026"
"67","0.331067","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000027"
"69","0.341105","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000028"
"71","0.351097","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000029"
"73","0.361098","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000030"
"75","0.371094","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000031"
"77","0.381063","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000032"
"79","0.391061","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000033"
"81","0.401005","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000034"
"83","0.411073","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000035"
"85","0.421098","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000036"
"87","0.431016","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000037"
"89","0.441092","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000038"
"91","0.451097","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000039"
"93","0.461098","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000040"
"95","0.471093","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000041"
"97","0.481101","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000042"
"99","0.491094","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000043"
"101","0.501103","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000044"
"103","0.511101","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000045"
"105","0.521100","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000046"
"107","0.531095","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000047"
"109","0.541095","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000048"
"111","0.551102","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000049"
"113","0.561095","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000050"
"115","0.571108","192.168.210.5","192.168.210.200","ENIP","63","55","Connection:  ID=0x41C60005, SEQ=0000000051"
